"drug","drug_label","bin","bin_label","midpoint","estimate","se","oracle","bias","converged","error_msg","n_in_bin"
0,"Drug B",1,"[30%,40%)",0.35,0.624958693318918,0.023719433818937,0.4378,0.187158693318918,TRUE,"",221
0,"Drug B",2,"[40%,50%)",0.45,0.197614493765333,0.0291907362014469,0.36072,-0.163105506234667,TRUE,"",404
0,"Drug B",3,"[50%,60%)",0.55,0.138000694751249,0.0213676373992401,0.28802,-0.150019305248751,TRUE,"",825
0,"Drug B",4,"[60%,70%)",0.65,0.24212113689685,0.0249173859376306,0.23454,0.00758113689685022,TRUE,"",1475
0,"Drug B",5,"[70%,80%)",0.75,0.177462694158854,0.0214913987810973,0.184,-0.0065373058411462,TRUE,"",2391
0,"Drug B",6,"[80%,90%)",0.85,0.139942730419409,0.0171479155677793,0.144,-0.00405726958059094,TRUE,"",3192
0,"Drug B",7,"[90%,100%]",0.95,0.106282242060793,0.0163077964234861,0.1112,-0.00491775793920746,TRUE,"",1521
1,"Drug A",1,"[30%,40%)",0.35,0.249882046184279,0.0366617261253116,0.2487,0.00118204618427883,TRUE,"",558
1,"Drug A",2,"[40%,50%)",0.45,0.147436779252964,0.0219490363105839,0.2202,-0.0727632207470358,TRUE,"",772
1,"Drug A",3,"[50%,60%)",0.55,0.15670551303552,0.0232422712916541,0.19064,-0.03393448696448,TRUE,"",1295
1,"Drug A",4,"[60%,70%)",0.65,0.181769871479923,0.0263106366010843,0.16414,0.0176298714799228,TRUE,"",1889
1,"Drug A",5,"[70%,80%)",0.75,0.190621863918495,0.0247935998897884,0.13998,0.0506418639184949,TRUE,"",2512
1,"Drug A",6,"[80%,90%)",0.85,0.135588109459937,0.0218204153223494,0.12234,0.0132481094599373,TRUE,"",2247
1,"Drug A",7,"[90%,100%]",0.95,0.093765254596113,0.0190921354699178,0.10542,-0.011654745403887,TRUE,"",698
