"drug","category","oracle_uniform","oracle_empirical","oracle_midpoint","diff_emp_unif"
"Drug_B","low",0.47661,0.33243,0.456815,-0.14418
"Drug_B","mid",0.18393,0.181635,0.18443,-0.00229500000000002
"Drug_B","high",0.117545,0.124365,0.118315,0.00682000000000001
"Drug_A","low",0.26293,0.20448,0.257305,-0.05845
"Drug_A","mid",0.14056,0.13819,0.14108,-0.00236999999999998
"Drug_A","high",0.10965,0.112565,0.10837,0.002915
