"drug","category","method","oracle","mean_est","bias","emp_se","rmse","mean_se","coverage","mean_support","n_converged","n_failed","oracle_uniform","oracle_empirical","oracle_midpoint"
"Drug_A","low","naive",0.20448,0.236894491615894,0.0324144916158941,0.0200771280473048,0.0381286026146348,NA,NA,38.3517124248528,50,0,0.26293,0.20448,0.257305
"Drug_A","low","ltmle",0.20448,0.20895173608612,0.00447173608611989,0.0240677919727656,0.0244796861513425,0.0318501725811779,1,14.3662007250329,50,0,0.26293,0.20448,0.257305
"Drug_A","mid","naive",0.13819,0.13303683983335,-0.00515316016665038,0.0142126153030929,0.0151179857605722,NA,NA,49.7167196538445,50,0,0.14056,0.13819,0.14108
"Drug_A","mid","ltmle",0.13819,0.14209292756718,0.00390292756718005,0.0335761546420182,0.0338022337152351,0.0308448100477842,0.96,7.28779116709445,50,0,0.14056,0.13819,0.14108
"Drug_A","high","naive",0.112565,0.0796157968454511,-0.0329492031545489,0.0256474721689854,0.0417545544483307,NA,NA,11.9315679213027,50,0,0.10965,0.112565,0.10837
"Drug_A","high","ltmle",0.112565,0.105933287856203,-0.00663171214379715,0.0514509498840977,0.0518765828667822,0.0422123723319215,0.78,3.90419379232781,50,0,0.10965,0.112565,0.10837
"Drug_A","shift","lmtp_shift",0.143415,0.126318743060188,-0.0170962569398123,0.0133579117103064,0.0216959859562183,0.0137006719313177,0.68,NA,50,0,NA,NA,NA
"Drug_B","low","naive",0.33243,0.377270688905103,0.0448406889051028,0.0306529351986982,0.0543165703793953,NA,NA,22.6546533013266,50,0,0.47661,0.33243,0.456815
"Drug_B","low","ltmle",0.33243,0.341983586593113,0.00955358659311334,0.0538381195788251,0.0546791929034801,0.058028819491851,0.98,6.61015091991082,50,0,0.47661,0.33243,0.456815
"Drug_B","mid","naive",0.181635,0.18313963148987,0.0015046314898701,0.0163962593421096,0.0164651521807126,NA,NA,53.5485339713756,50,0,0.18393,0.181635,0.18443
"Drug_B","mid","ltmle",0.181635,0.176686664622956,-0.00494833537704403,0.0265993068337614,0.027055667558578,0.0309004644680098,0.94,7.75418348612835,50,0,0.18393,0.181635,0.18443
"Drug_B","high","naive",0.124365,0.0985254267953019,-0.0258395732046981,0.0182241855526332,0.0316196850467831,NA,NA,23.7968127272978,50,0,0.117545,0.124365,0.118315
"Drug_B","high","ltmle",0.124365,0.130522170658038,0.00615717065803822,0.0344118073473077,0.0349583071017523,0.0336215656943226,0.92,9.52750798386484,50,0,0.117545,0.124365,0.118315
"Drug_B","shift","lmtp_shift",0.16402,0.127165790839668,-0.0368542091603324,0.0147746267341168,0.0397054445632587,0.0135878692868759,0.18,NA,50,0,NA,NA,NA
